month,revenue_eur,shipments_processed,avg_revenue_per_shipment_eur,market
2021-07-01,594096.19,68886,8.62,consolidated
2021-08-01,548737.23,64801,8.47,consolidated
2021-09-01,547796.06,63986,8.56,consolidated
2021-10-01,587674.65,70407,8.35,consolidated
2021-11-01,742778.83,90198,8.23,consolidated
2021-12-01,730744.32,87608,8.34,consolidated
2022-01-01,585098.46,70710,8.27,consolidated
2022-02-01,517085.18,61207,8.45,consolidated
2022-03-01,572009.44,68850,8.31,consolidated
2022-04-01,618826.00,73483,8.42,consolidated
2022-05-01,585980.67,69951,8.38,consolidated
2022-06-01,567283.73,68521,8.28,consolidated
2022-07-01,580083.51,69052,8.40,consolidated
2022-08-01,573717.22,69311,8.28,consolidated
2022-09-01,564334.93,67063,8.41,consolidated
2022-10-01,573648.06,67433,8.51,consolidated
2022-11-01,787724.82,98705,7.98,consolidated
2022-12-01,751071.58,91876,8.17,consolidated
2023-01-01,624331.30,76614,8.15,consolidated
2023-02-01,576355.26,69489,8.29,consolidated
2023-03-01,640940.80,76623,8.36,consolidated
2023-04-01,662459.97,81102,8.17,consolidated
2023-05-01,616792.08,74782,8.25,consolidated
2023-06-01,637785.64,77216,8.26,consolidated
2023-07-01,657419.87,78941,8.33,consolidated
2023-08-01,673814.39,82800,8.14,consolidated
2023-09-01,636438.72,77449,8.22,consolidated
2023-10-01,665941.82,81336,8.19,consolidated
2023-11-01,815596.20,101872,8.01,consolidated
2023-12-01,830485.75,104444,7.95,consolidated
2024-01-01,645415.87,77669,8.31,consolidated
2024-02-01,577348.56,69648,8.29,consolidated
2024-03-01,665309.57,82909,8.02,consolidated
2024-04-01,695029.55,83928,8.28,consolidated
2024-05-01,693024.67,83389,8.31,consolidated
2024-06-01,685061.04,84970,8.06,consolidated
2024-07-01,661027.61,81832,8.08,consolidated
2024-08-01,655427.22,81651,8.03,consolidated
2024-09-01,653966.43,78507,8.33,consolidated
2024-10-01,646435.10,78220,8.26,consolidated
2024-11-01,857593.24,108530,7.90,consolidated
2024-12-01,890845.01,110207,8.08,consolidated
2025-01-01,725580.17,89095,8.14,consolidated
2025-02-01,618907.48,77289,8.01,consolidated
2025-03-01,755376.19,93268,8.10,consolidated
2025-04-01,724600.79,88870,8.15,consolidated
2025-05-01,689603.16,85130,8.10,consolidated
2025-06-01,721761.84,88157,8.19,consolidated
2025-07-01,696838.02,84751,8.22,consolidated
2025-08-01,691258.86,86712,7.97,consolidated
2025-09-01,728413.49,89596,8.13,consolidated
2025-10-01,702449.65,88352,7.95,consolidated
2025-11-01,966184.45,124642,7.75,consolidated
2025-12-01,944843.11,120078,7.87,consolidated
